Student_ID,Grade,Group,Gender,Special_Education,Confidence,Pre_Comp,Pre_SW,Pre_PDE,Post_Comp,Post_SW,Post_PDE
51001,5,Treatment,F,N,okay,35,78,50,37,83,50
51002,5,Treatment,F,N,excellent,31,62,24,36,66,30
51003,5,Treatment,F,N,okay,29,64,26,40,65,36
51005,5,Treatment,M,N,good,27,81,48,37,79,51
51006,5,Treatment,F,N,good,36,63,16,38,73,24
51007,5,Treatment,F,N,good,20,72,28,24,77,32
51008,5,Treatment,M,N,excellent,23,62,18,25,69,28
51009,5,Treatment,M,N,good,28,71,39,24,73,42
51010,5,Treatment,F,N,good,27,62,26,31,71,21
51011,5,Treatment,M,N,good,16,55,15,19,59,19
51012,5,Treatment,M,N,excellent,32,74,48,29,70,48
51013,5,Treatment,F,N,good,26,68,30,31,72,31
51014,5,Treatment,M,N,excellent,26,78,44,27,81,45
51015,5,Treatment,M,N,good,19,62,26,22,64,32
51016,5,Treatment,M,N,excellent,31,62,21,37,67,31
51017,5,Treatment,F,N,okay,33,58,30,36,67,33
51018,5,Treatment,M,Y,good,10,16,14,14,30,14
51019,5,Treatment,M,Y,good,24,72,45,20,80,42
51021,5,Control,M,N,excellent,24,75,41,31,70,47
51022,5,Control,M,Y,poor,17,34,8,16,33,13
51023,5,Control,M,Y,okay,30,60,24,45,60,34
51024,5,Control,M,N,excellent,30,84,54,27,81,60
51025,5,Control,F,N,good,24,77,36,26,71,37
51026,5,Control,M,N,good,32,68,26,13,70,39
51027,5,Control,F,N,excellent,31,63,36,34,64,42
51029,5,Control,F,N,good,20,67,32,19,67,43
51030,5,Control,F,N,excellent,32,73,38,35,65,43
51031,5,Control,F,N,good,19,63,32,20,64,37
51032,5,Control,F,N,poor,38,62,33,37,55,25
51033,5,Control,M,N,okay,24,63,15,23,52,19
51034,5,Control,M,N,excellent,34,68,35,,58,37
51035,5,Control,F,N,good,34,63,16,43,66,35
51037,5,Control,M,Y,poor,25,59,18,24,57,27
51038,5,Control,F,N,excellent,26,71,40,30,68,40
51039,5,Control,F,N,okay,25,42,12,37,43,11
51040,5,Control,M,Y,good,22,58,18,22,54,27
51041,5,Control,F,N,poor,23,53,18,25,55,33
51042,5,Control,F,N,okay,19,59,18,41,59,31
