"","x"
"1",153
"2",151
"3",182
"4",190
"5",162
"6",164
"7",154
"8",146
"9",168
"10",127
"11",151
"12",158
"13",166
"14",153
"15",151
"16",163
"17",146
"18",178
"19",164
"20",161
"21",173
"22",128
"23",138
"24",135
"25",194
"26",134
"27",121
"28",146
"29",164
"30",138
"31",167
"32",131
"33",168
"34",127
"35",114
"36",166
"37",176
"38",149
"39",178
"40",166
"41",149
"42",157
"43",188
"44",164
"45",180
"46",132
"47",145
"48",184
"49",165
"50",158
"51",150
"52",110
"53",178
"54",197
"55",169
"56",213
"57",177
"58",133
"59",217
"60",142
"61",144
"62",163
"63",173
"64",125
"65",166
"66",159
"67",189
"68",186
"69",146
"70",172
"71",168
"72",158
"73",137
"74",168
"75",168
"76",164
"77",142
"78",132
"79",177
"80",147
"81",176
"82",170
"83",140
"84",164
"85",182
"86",137
"87",186
"88",187
"89",148
"90",173
"91",152
"92",163
"93",142
"94",183
"95",139
"96",185
"97",172
"98",153
"99",180
"100",173
"101",152
"102",128
"103",140
"104",152
"105",169
"106",159
"107",158
"108",169
"109",149
"110",175
"111",151
"112",139
"113",186
"114",184
"115",147
"116",181
"117",149
"118",148
"119",172
"120",182
"121",177
"122",158
"123",207
"124",195
"125",163
"126",154
"127",153
"128",152
"129",161
"130",168
"131",174
"132",165
"133",173
"134",160
"135",161
"136",163
"137",177
"138",133
"139",157
"140",216
"141",153
"142",152
"143",144
"144",193
"145",120
"146",131
"147",159
"148",146
"149",161
"150",192
"151",161
"152",153
"153",172
"154",177
"155",182
"156",146
"157",153
"158",152
"159",162
"160",146
"161",139
"162",148
"163",201
"164",141
"165",166
"166",158
"167",154
"168",166
"169",193
"170",141
"171",124
"172",147
"173",130
"174",139
"175",160
"176",154
"177",189
"178",143
"179",166
"180",166
"181",146
"182",185
"183",171
"184",141
"185",143
"186",160
"187",123
"188",163
"189",142
"190",157
"191",142
"192",146
"193",160
"194",174
"195",167
"196",134
"197",174
"198",157
"199",131
"200",198
"201",126
"202",164
"203",147
"204",178
"205",160
"206",171
"207",150
"208",160
"209",138
"210",172
"211",157
"212",191
"213",171
"214",138
"215",205
"216",183
"217",163
"218",165
"219",121
"220",179
"221",155
"222",179
"223",198
"224",120
"225",159
