"","ID","sex","class","motor","transport","timetravel","walkdist","streetpark","convenience","shuttle","wait4shuttle","pay4shuttle","pay4shuttle_num","wait4shuttle_num"
"1",1,"Female","Staff","yes","Bus",41,"1+ miles","never","very good","Yes","7","$0 ",0,7
"2",22,"Female","Faculty","yes","Motorcycle",8,"1/2 - 1 mile","never","fair","Yes","2","will not ride",NA,2
"3",25,"Female","Staff","yes","Walk",32,"<1/4 mile","sometimes","fair","Maybe","22","$0.50 ",0.5,22
"4",37,"Female","Staff","yes","Walk",5,"1/2 - 1 mile","never","very good","Yes","13","$0.50 ",0.5,13
"5",46,"Female","Staff","yes","Auto",40,"1/2 - 1 mile","never","fair","Yes","5","$0.50 ",0.5,5
"6",54,"Male","Staff","yes","Auto",11,"1+ miles","sometimes","good","Yes","7","$0.50 ",0.5,7
"7",56,"Female","Faculty","yes","Auto",15,"1/2 - 1 mile","never","good","Maybe","7","$0 ",0,7
"8",57,"Female","Staff","yes","Auto",33,"1+ miles","sometimes","poor","Yes","2","$1 ",1,2
"9",58,"Female","Faculty","yes","Walk",21,"1/4 - 1/2 mile","always","fair","Maybe","6","$0.50 ",0.5,6
"10",69,"Male","Staff","yes","Auto",33,"1/4 - 1/2 mile","sometimes","fair","Yes","5","$0 ",0,5
"11",71,"Female","Staff","yes","Auto",16,"<1/4 mile","never","good","No","will not ride","will not ride",NA,NA
"12",76,"Male","Faculty","yes","Walk",22,"<1/4 mile","never","very good","No","4","$0 ",0,4
"13",90,"Female","Staff","yes","Walk",18,"1/4 - 1/2 mile","never","fair","Maybe","2","$0.50 ",0.5,2
"14",97,"Female","Faculty","yes","Auto",18,"1/4 - 1/2 mile","never","very good","Yes","6","$1 ",1,6
"15",100,"Male","Staff","yes","Auto",22,"1/4 - 1/2 mile","never","fair","Yes","7","$0.50 ",0.5,7
"16",103,"Male","Staff","yes","Auto",16,"1+ miles","sometimes","fair","Maybe","10","$0.50 ",0.5,10
"17",115,"Female","Staff","yes","Auto",17,"1/2 - 1 mile","never","fair","Yes","6","$0.50 ",0.5,6
"18",144,"Female","Staff","yes","Auto",16,"1/2 - 1 mile","sometimes","fair","Yes","0","$0.50 ",0.5,0
"19",152,"Female","Faculty","yes","Auto",33,"1/2 - 1 mile","never","fair","Yes","6","$1 ",1,6
"20",153,"Female","Faculty","yes","Auto",4,"1+ miles","never","fair","Yes","6","$1 ",1,6
"21",156,"Female","Staff","yes","Bus",25,"1/4 - 1/2 mile","never","poor","Yes","2","$0.50 ",0.5,2
"22",200,"Female","Staff","yes","Auto",29,"1+ miles","never","fair","Maybe","13","$1 ",1,13
"23",202,"Male","Faculty","yes","Auto",19,"1/4 - 1/2 mile","never","very good","Yes","14","$1 ",1,14
"24",209,"Female","Staff","yes","Auto",44,"1+ miles","never","very good","Maybe","6","$0.50 ",0.5,6
"25",216,"Female","Staff","yes","Bus",17,"<1/4 mile","never","very good","Maybe","will not ride","$1 ",1,NA
"26",219,"Female","Faculty","yes","Bus",58,"1/2 - 1 mile","never","good","No","will not ride","will not ride",NA,NA
"27",224,"Female","Faculty","yes","Auto",61,"<1/4 mile","always","very poor","Yes","3","$0 ",0,3
"28",227,"Female","Staff","yes","Auto",56,"1/4 - 1/2 mile","never","good","Maybe","will not ride","$0 ",0,NA
"29",229,"Male","Faculty","yes","Auto",43,"1/4 - 1/2 mile","never","very good","Yes","6","$0 ",0,6
"30",236,"Male","Faculty","yes","Auto",52,"1/2 - 1 mile","never","very good","Maybe","2","$0 ",0,2
"31",237,"Male","Staff","yes","Auto",43,"<1/4 mile","never","fair","Maybe","1","$0.50 ",0.5,1
"32",238,"Female","Faculty","yes","Auto",58,"1/4 - 1/2 mile","never","very good","Yes","15","$0.50 ",0.5,15
"33",240,"Female","Staff","no","Bus",53,"<1/4 mile","never","very poor","Maybe","9","$1 ",1,9
"34",244,"Female","Staff","no","Bus",46,"<1/4 mile","never","very poor","Maybe","7","$1 ",1,7
"35",246,"Female","Staff","yes","Auto",51,"<1/4 mile","never","very poor","No","will not ride","will not ride",NA,NA
"36",250,"Female","Staff","yes","Auto",57,"<1/4 mile","never","very good","Maybe","6","$0.50 ",0.5,6
"37",251,"Female","Faculty","yes","Auto",60,"<1/4 mile","never","very poor","No","will not ride","will not ride",NA,NA
"38",260,"Male","Staff","yes","Auto",55,"1/4 - 1/2 mile","always","fair","Maybe","1","$0 ",0,1
"39",271,"Male","Faculty","yes","Auto",53,"1/4 - 1/2 mile","never","good","Yes","10","$0 ",0,10
"40",287,"Female","Staff","yes","Bus",61,"1+ miles","never","very good","Maybe","13","$0.50 ",0.5,13
"41",291,"Female","Staff","yes","Auto",48,"1/4 - 1/2 mile","never","very good","No","will not ride","will not ride",NA,NA
"42",321,"Male","Faculty","yes","Auto",44,"1+ miles","never","very good","Maybe","8","$0.50 ",0.5,8
"43",326,"Male","Staff","yes","Auto",55,"<1/4 mile","never","good","Yes","9","$1 ",1,9
"44",336,"Female","Staff","yes","Auto",61,"1/2 - 1 mile","never","fair","Yes","11","$0.50 ",0.5,11
"45",342,"Female","Staff","yes","Auto",60,"<1/4 mile","never","good","Maybe","0","will not ride",NA,0
"46",356,"Male","Staff","yes","Auto",60,"1+ miles","never","fair","Yes","7","$0.50 ",0.5,7
"47",357,"Male","Staff","yes","Auto",45,"1/4 - 1/2 mile","never","very good","Yes","7","$0 ",0,7
"48",365,"Female","Staff","yes","Auto",43,"1/4 - 1/2 mile","never","poor","Maybe","3","$0.50 ",0.5,3
"49",368,"Female","Faculty","yes","Auto",49,"1/2 - 1 mile","never","good","Yes","7","$0.50 ",0.5,7
"50",387,"Male","Staff","yes","Bus",43,"1/4 - 1/2 mile","never","fair","Yes","15","$0.50 ",0.5,15
"51",391,"Female","Staff","yes","Auto",45,"1/4 - 1/2 mile","never","very poor","Yes","12","$0.50 ",0.5,12
"52",392,"Male","Faculty","yes","Walk",55,"1/2 - 1 mile","never","good","Yes","1","$0 ",0,1
"53",410,"Female","Staff","yes","Auto",52,"1/2 - 1 mile","never","very good","Yes","8","$1 ",1,8
"54",412,"Female","Staff","yes","Auto",61,"1+ miles","sometimes","fair","Yes","5","$1 ",1,5
"55",418,"Female","Staff","yes","Auto",45,"1/4 - 1/2 mile","sometimes","good","Yes","15","$0.50 ",0.5,15
"56",420,"Female","Staff","yes","Auto",40,"1/4 - 1/2 mile","never","poor","Yes","9","$3 ",3,9
"57",422,"Female","Staff","yes","Auto",50,"1/2 - 1 mile","never","very good","No","9","$0 ",0,9
"58",423,"Female","Staff","yes","Auto",56,"1+ miles","never","very poor","Maybe","8","$0 ",0,8
"59",461,"Female","Staff","yes","Auto",54,"1/4 - 1/2 mile","always","fair","No","will not ride","$0 ",0,NA
"60",468,"Female","Staff","yes","Auto",58,"1/2 - 1 mile","never","good","Maybe","10","$1 ",1,10
"61",478,"Female","Staff","yes","Auto",53,"1/4 - 1/2 mile","never","good","Maybe","3","$0.50 ",0.5,3
"62",488,"Female","Staff","yes","Bus",51,"1/4 - 1/2 mile","never","very poor","No","2","will not ride",NA,2
