"","ID","sex","class","motor","transport","timetravel","walkdist","streetpark","convenience","shuttle","wait4shuttle","pay4shuttle"
"1",85,"Male","Senior","yes","Auto",23,"<1/4 mile","never","very good","No","will not ride","$0.50 "
"2",101,"Female","Senior","yes","Auto",4,"1/2 - 1 mile","never","fair","No","3","$1 "
"3",131,"Female","Graduate","no","Walk",11,"1/2 - 1 mile","never","poor","Maybe","9","$1 "
"4",132,"Female","Junior","yes","Auto",29,"1/2 - 1 mile","never","fair","Yes","4","$0.50 "
"5",142,"Female","Graduate","yes","Auto",7,"1/2 - 1 mile","sometimes","fair","Yes","6","$0.50 "
"6",155,"Female","Freshman","yes","Auto",13,"<1/4 mile","always","fair","Yes","13","$1 "
"7",183,"Male","Graduate","yes","Auto",6,"1/4-1/2 mile","sometimes","fair","Yes","3","$0 "
"8",201,"Male","Junior","yes","Auto",32,"1+ miles","never","fair","No","will not ride","will not ride"
"9",221,"Male","Senior","yes","Auto",13,"1/4-1/2 mile","never","fair","No","6","will not ride"
"10",279,"Female","Graduate","yes","Auto",13,"1/2 - 1 mile","always","very poor","Yes","3","$1 "
"11",300,"Female","Senior","yes","Auto",8,"<1/4 mile","never","good","Yes","9","$1 "
"12",308,"Female","Graduate","yes","Auto",8,"1/2 - 1 mile","never","very good","Maybe","13","$0.50 "
"13",312,"Female","Graduate","yes","Auto",5,"<1/4 mile","never","fair","Maybe","8","$1 "
"14",316,"Female","Junior","yes","Auto",27,"1+ miles","never","fair","No","3","will not ride"
"15",401,"Male","Graduate","yes","Auto",8,"1/4-1/2 mile","sometimes","good","Yes","7","$0.50 "
"16",415,"Male","Junior","yes","Auto",11,"1/4-1/2 mile","never","fair","No","0","will not ride"
"17",427,"Male","Senior","yes","Auto",29,"1/2 - 1 mile","never","fair","Maybe","9","$0.50 "
"18",448,"Female","Junior","yes","Auto",29,"1/4-1/2 mile","never","fair","Maybe","4","$0.50 "
"19",457,"Female","Graduate","yes","Auto",15,"<1/4 mile","never","good","Maybe","14","$1 "
"20",504,"Male","Graduate","yes","Auto",28,"1/2 - 1 mile","always","fair","Yes","14","$0.50 "
"21",553,"Male","Junior","yes","Auto",1,"1/2 - 1 mile","sometimes","very poor","Yes","0","$0 "
"22",582,"Male","Senior","yes","Auto",5,"1/4-1/2 mile","never","good","Yes","9","$0 "
"23",607,"Female","Junior","yes","Auto",7,"1/4-1/2 mile","sometimes","very poor","Yes","3","$1 "
"24",639,"Female","Sophomore","yes","Auto",23,"1/4-1/2 mile","sometimes","very poor","Yes","7","$0.50 "
"25",647,"Female","Sophomore","yes","Walk",13,"1/4-1/2 mile","never","very poor","No","will not ride","will not ride"
"26",680,"Female","Junior","yes","Auto",22,"1/4-1/2 mile","never","very poor","No","will not ride","will not ride"
"27",704,"Male","Senior","yes","Auto",20,"<1/4 mile","never","poor","No","10","will not ride"
"28",705,"Male","Senior","yes","Auto",19,"1/4-1/2 mile","never","very good","Yes","7","will not ride"
"29",719,"Female","Senior","yes","Auto",22,"1/2 - 1 mile","never","poor","Maybe","17","$1 "
"30",731,"Male","Graduate","yes","Auto",24,"1/2 - 1 mile","sometimes","good","No","will not ride","will not ride"
"31",747,"Male","Graduate","yes","Auto",17,"1/2 - 1 mile","never","good","Maybe","13","$0.50 "
"32",748,"Male","Senior","yes","Auto",27,"1+ miles","never","fair","No","will not ride","will not ride"
"33",766,"Female","Junior","yes","Auto",50,"1/4-1/2 mile","never","poor","Yes","11","$1 "
"34",773,"Male","Senior","yes","Auto",11,"1/2 - 1 mile","never","fair","Yes","1","$0.50 "
"35",775,"Female","Freshman","yes","Auto",0,"1+ miles","sometimes","fair","No","will not ride","will not ride"
"36",808,"Female","Senior","yes","Auto",28,"1+ miles","never","very poor","Yes","15","$0.50 "
"37",816,"Male","Senior","yes","Auto",7,"<1/4 mile","never","poor","Maybe","8","$0 "
"38",829,"Male","Senior","yes","Bicycle",11,"1/2 - 1 mile","never","very poor","No","will not ride","will not ride"
"39",866,"Female","Senior","yes","Auto",1,"1/2 - 1 mile","sometimes","very poor","Yes","1","$1 "
"40",913,"Female","Freshman","yes","Auto",1,"<1/4 mile","sometimes","fair","Maybe","8","$0.50 "
"41",935,"Female","Freshman","yes","Auto",23,"1/2 - 1 mile","never","very poor","Maybe","11","$0.50 "
"42",956,"Female","Freshman","yes","Auto",7,"1/4-1/2 mile","never","poor","Maybe","8","$0 "
"43",957,"Female","Freshman","yes","Auto",28,"1/4-1/2 mile","never","fair","Maybe","8","$3 "
"44",958,"Male","Graduate","yes","Auto",9,"1/4-1/2 mile","never","very good","Yes","10","$5 "
"45",966,"Female","Junior","yes","Auto",50,"<1/4 mile","never","very poor","Yes","11","$1 "
"46",968,"Female","Senior","yes","Walk",7,"1+ miles","never","fair","Yes","7","$0 "
"47",983,"Female","Junior","yes","Auto",24,"1+ miles","sometimes","very poor","Yes","20","$0.50 "
"48",986,"Male","Junior","yes","Auto",13,"1/2 - 1 mile","never","fair","No","will not ride","will not ride"
"49",998,"Female","Freshman","yes","Auto",26,"1+ miles","never","very poor","Maybe","will not ride","will not ride"
"50",1008,"Female","Sophomore","yes","Auto",28,"1+ miles","sometimes","good","Yes","will not ride","$1 "
"51",1014,"Male","Senior","yes","Auto",9,"1/4-1/2 mile","sometimes","very poor","Maybe","12","$0.50 "
"52",1096,"Female","Senior","yes","Auto",5,"1/4-1/2 mile","never","good","No","will not ride","will not ride"
"53",1113,"Female","Graduate","yes","Auto",13,"<1/4 mile","sometimes","fair","Yes","7","$0.50 "
"54",1124,"Male","Graduate","yes","Auto",14,"1/2 - 1 mile","never","fair","Maybe","14","$1 "
"55",1150,"Female","Freshman","yes","Auto",35,"<1/4 mile","sometimes","very poor","Yes","10","$0 "
"56",1157,"Female","Senior","yes","Auto",16,"1/4-1/2 mile","sometimes","poor","No","will not ride","will not ride"
"57",1176,"Female","Graduate","yes","Auto",14,"1/4-1/2 mile","sometimes","very poor","Yes","1","$0 "
"58",1182,"Female","Graduate","yes","Auto",41,"1/4-1/2 mile","never","very good","No","will not ride","will not ride"
"59",1183,"Female","Junior","yes","Auto",25,"1/4-1/2 mile","sometimes","very poor","No","will not ride","will not ride"
"60",1226,"Female","Graduate","yes","Auto",27,"<1/4 mile","never","very poor","Yes","1","$0 "
"61",1266,"Female","Junior","yes","Auto",25,"<1/4 mile","never","fair","Yes","7","$0 "
"62",1269,"Male","Graduate","yes","Auto",9,"1/4-1/2 mile","sometimes","fair","Maybe","9","$0 "
"63",1272,"Female","Senior","yes","Auto",27,"1/4-1/2 mile","sometimes","poor","Yes","6","$0 "
"64",1275,"Female","Junior","yes","Walk",16,"1/2 - 1 mile","sometimes","poor","Yes","7","$0 "
"65",1292,"Female","Junior","yes","Auto",45,"<1/4 mile","always","poor","No","will not ride","will not ride"
"66",1297,"Female","Sophomore","yes","Auto",14,"1/4-1/2 mile","never","very poor","Yes","15","$1 "
"67",1324,"Female","Graduate","yes","Auto",2,"1/2 - 1 mile","always","fair","Yes","9","$0.50 "
"68",1330,"Male","Graduate","yes","Auto",23,"1/4-1/2 mile","sometimes","fair","Yes","13","$0.50 "
"69",1338,"Female","Freshman","yes","Auto",23,"1/4-1/2 mile","never","fair","No","8","will not ride"
"70",1350,"Female","Graduate","no","Car Pool",6,"<1/4 mile","sometimes","fair","Yes","4","$0.50 "
"71",1380,"Female","Sophomore","yes","Auto",21,"1+ miles","never","poor","No","will not ride","$0 "
"72",1384,"Male","Graduate","yes","Auto",37,"<1/4 mile","never","fair","No","2","$0 "
"73",1386,"Female","Graduate","yes","Auto",18,"1/4-1/2 mile","always","fair","No","will not ride","will not ride"
"74",1391,"Female","Senior","yes","Auto",33,"1+ miles","never","very poor","Yes","9","$0 "
"75",1405,"Female","Graduate","yes","Auto",22,"1/2 - 1 mile","always","very poor","Yes","15","$1 "
"76",1427,"Female","Freshman","no","Auto",20,"1/2 - 1 mile","sometimes","poor","Maybe","12","$0.50 "
"77",1447,"Female","Graduate","yes","Auto",29,"1/4-1/2 mile","sometimes","fair","Yes","10","$0.50 "
"78",1467,"Female","Senior","yes","Auto",11,"1/2 - 1 mile","sometimes","very poor","Maybe","2","$0.50 "
"79",1471,"Female","Junior","yes","Walk",0,"1/2 - 1 mile","never","poor","Yes","12","$1 "
"80",1479,"Male","Sophomore","yes","Walk",8,"<1/4 mile","never","fair","Yes","13","$0 "
"81",1481,"Female","Graduate","yes","Auto",26,"1/2 - 1 mile","never","fair","Yes","13","$1 "
"82",1482,"Female","Graduate","yes","Auto",12,"1/2 - 1 mile","never","fair","Maybe","8","$0.50 "
"83",1485,"Male","Senior","yes","Auto",18,"1+ miles","always","poor","Maybe","14","$0 "
"84",1489,"Male","Graduate","yes","Auto",10,"1/4-1/2 mile","sometimes","fair","Yes","4","$0 "
"85",1490,"Female","Freshman","yes","Auto",36,"<1/4 mile","always","very poor","Yes","2","$0.50 "
"86",1494,"Female","Junior","yes","Auto",10,"1/2 - 1 mile","never","poor","Maybe","7","$0.50 "
"87",1498,"Male","Junior","yes","Auto",16,"1+ miles","never","fair","No","9","$1 "
"88",1499,"Female","Graduate","yes","Auto",18,"1/4-1/2 mile","never","good","Maybe","7","$0.50 "
"89",1511,"Female","Senior","yes","Auto",21,"1/4-1/2 mile","never","fair","Yes","7","$0.50 "
"90",1518,"Female","Graduate","yes","Auto",18,"1/4-1/2 mile","never","fair","Yes","9","$0 "
"91",1528,"Female","Senior","yes","Walk",6,"1/4-1/2 mile","sometimes","fair","Maybe","will not ride","$0.50 "
